220	portage	a place where boats, goods, etc., are carried overland between navigable waters	has_hypernym;221	103985588-n;DGM_equivalent	R.PTGE
221	road	an open way with improved surface for transportation of animals, people and vehicles		104096066-n;DGM_equivalent	R.RD
222	ancient road	the remains of a road used by ancient cultures	has_hypernym;221	104096066-n;DGM_hyponym	R.RDA
223	road bend	a conspicuously curved or bent section of a road	has_hypernym;221	102829696-n;DGM_hyponym	R.RDB
224	road cut	an excavation cut through a hill or ridge for a road	meronym;221	103152619-n;DGM_hyponym	R.RDCUT
225	road junction	a place where two or more roads join	meronym;221	103581125-n;DGM_equivalent	R.RDJCT
226	railroad junction	a place where two or more railroad tracks join	meronym;227	104048979-n;DGM_equivalent	R.RJCT
227	railroad	a permanent twin steel-rail track on which freight and passenger cars move long distances		104048075-n;DGM_equivalent	R.RR
228	abandoned railroad		has_hypernym;227	104048075-n;DGM_hyponym	R.RRQ
229	caravan route	the route taken by caravans	has_hypernym;221	108616311-n;DGM_hyponym	R.RTE
230	railroad yard	a system of tracks used for the making up of trains, and switching and storing freight cars	meronym;227		R.RYD
231	street	a paved urban thoroughfare	has_hypernym;221	104334599-n;DGM_equivalent	R.ST
232	stock route	a route taken by livestock herds	has_hypernym;221	108616311-n;DGM_hyponym	R.STKR
233	tunnel	a subterranean passageway for transportation		104497962-n;DGM_equivalent	R.TNL
234	natural tunnel	a cave that is open at both ends	has_hypernym;233	109238926-n;DGM_hyponym	R.TNLN
235	road tunnel	a tunnel through which a road passes	has_hypernym;233	104497962-n;DGM_hyponym	R.TNLRD
236	railroad tunnel	a tunnel through which a railroad passes	has_hypernym;233	104048441-n;DGM_hyponym	R.TNLRR
237	tunnels	subterranean passageways for transportation		104497962-n;DGM_equivalent	R.TNLS
238	trail	a path, track, or route used by pedestrians, animals, or off-road vehicles	has_hypernym;221	104466613-n;DGM_equivalent	R.TRL
239	administrative facility	a government building	has_hypernym;307	103315023-n;DGM_hyponym	S.ADMF
240	agricultural facility	a building and/or tract of land used for improving agriculture	has_hypernym;307	103315023-n;DGM_hyponym	S.AGRF
241	airbase	an area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated		102685585-n;DGM_equivalent	S.AIRB
242	airfield	a place on land where aircraft land and take off; no facilities provided for the commercial handling of passengers and cargo		102687992-n;DGM_equivalent	S.AIRF
243	heliport	a place where helicopters land and take off		103512830-n;DGM_equivalent	S.AIRH
244	airport	a place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo		102692232-n;DGM_equivalent	S.AIRP
245	abandoned airfield		has_hypernym;242	102687992-n;DGM_hyponym	S.AIRQ
246	amphitheater	an oval or circular structure with rising tiers of seats about a stage or open space		102704949-n;DGM_equivalent	S.AMTH
247	ancient site	a place where archeological remains, old structures, or cultural artifacts are located		108550076-n;DGM_equivalent	S.ANS
248	aquaculture facility	facility or area for the cultivation of aquatic animals and plants, especially fish, shellfish, and seaweed, in natural or controlled marine or freshwater environments; underwater agriculture	has_hypernym;307		S.AQC
249	arch	a natural or man-made structure in the form of an arch		113886133-n;DGM_equivalent	S.ARCH
250	astronomical station	a point on the earth whose position has been determined by observations of celestial bodies	has_hypernym;176	104306080-n;DGM_hyponym	S.ASTR
251	asylum	a facility where the insane are cared for and protected	has_hypernym;307	103746574-n;DGM_equivalent	S.ASYL
252	athletic field	a tract of land used for playing team sports, and athletic track and field events	has_hypernym;307	108570758-n;DGM_equivalent	S.ATHF
253	automatic teller machine	An unattended electronic machine in a public place, connected to a data system and related equipment and activated by a bank customer to obtain cash withdrawals and other banking services. 	meronym;254	102977058-n;DGM_equivalent	S.ATM
254	bank	A business establishment in which money is kept for saving or commercial purposes or is invested, supplied for loans, or exchanged. 		108420278-n;DGM_equivalent	S.BANK
255	beacon	a fixed artificial navigation mark		102814860-n;DGM_equivalent	S.BCN
256	bridge	a structure erected across an obstacle such as a stream, road, etc., in order to carry roads, railroads, and pedestrians across		102898711-n;DGM_equivalent	S.BDG
257	ruined bridge	a destroyed or decayed bridge which is no longer functional	has_hypernym;256	102898711-n;DGM_hyponym	S.BDGQ
258	building	a structure built for permanent use, as a house, factory, etc.		102913152-n;DGM_equivalent	S.BLDG
259	office building	commercial building where business and/or services are conducted	has_hypernym;258	102913152-n;DGM_hyponym	S.BLDO
260	boundary marker	a fixture marking a point along a boundary		108512259-n;DGM_equivalent	S.BP
261	barracks	a building for lodging military personnel		102794779-n;DGM_equivalent	S.BRKS
262	breakwater	a structure erected to break the force of waves at the entrance to a harbor or port		102894605-n;DGM_equivalent	S.BRKW
263	baling station	a facility for baling agricultural products		103315023-n;DGM_hyponym	S.BSTN
264	boatyard	a waterside facility for servicing, repairing, and building small vessels		102859955-n;DGM_equivalent	S.BTYD
265	burial cave	a cave used for human burials		109238926-n;DGM_hyponym	S.BUR
266	bus station	a facility comprising ticket office, platforms, etc. for loading and unloading passengers 	has_hypernym;307	102926288-n;DGM_equivalent	S.BUSTN
267	bus stop	a place lacking station facilities	has_hypernym;307	108517676-n;DGM_equivalent	S.BUSTP
268	cairn	a heap of stones erected as a landmark or for other purposes		107273802-n;DGM_equivalent	S.CARN
269	cave	an underground passageway or chamber, or cavity on the side of a cliff		109238926-n;DGM_equivalent	S.CAVE
270	church	a building for public Christian worship		103028079-n;DGM_equivalent	S.CH
271	camp	a site occupied by tents, huts, or other shelters for temporary use		102945161-n;DGM_equivalent	S.CMP
272	logging camp	a camp used by loggers	has_hypernym;271	102945161-n;DGM_hyponym	S.CMPL
273	labor camp	a camp used by migrant or temporary laborers	has_hypernym;271	103630849-n;DGM_equivalent	S.CMPLA
274	mining camp	a camp used by miners	has_hypernym;271	102945161-n;DGM_hyponym	S.CMPMN
275	oil camp	a camp used by oilfield workers	has_hypernym;271	102945161-n;DGM_hyponym	S.CMPO
